keyword,n_postings,median_pay,mean_pay,vs_overall_pct,p_value,cliffs_delta,effect,significant_fdr
ticket,168,1000.0,3530.9523809523807,900.0,2.6056960058025736e-25,0.46272498170338183,medium,True
blockchain,172,775.0,2647.7906976744184,675.0,1.0058534354728336e-38,0.5725705669229333,large,True
ghostwriter,292,750.0,1008.2910958904109,650.0,4.9791712242720587e-54,0.5228657223654896,large,True
when,184,500.0,411.8478260869565,400.0,3.945773885880485e-27,0.45886539759357947,medium,True
expensify,491,500.0,476.5784114052953,400.0,1.0893055659273243e-135,0.6465375045794461,large,True
videographer,267,500.0,732.0636704119851,400.0,3.257244923328582e-49,0.5209217005979221,large,True
senior,270,500.0,2326.248148148148,400.0,2.6416999145608325e-33,0.4224167620029755,medium,True
buyer,217,500.0,838.4101382488479,400.0,2.30951493683165e-50,0.5846454268939927,large,True
romance,310,450.0,686.4677419354839,350.0,1.0326519323824954e-30,0.3777926051498557,medium,True
representative,192,400.0,2526.9114583333335,300.0,2.2004373295154454e-20,0.38528628220611916,medium,True
executive,196,325.0,1249.1938775510205,225.0,3.96818555310971e-23,0.40824174383228784,medium,True
saas,474,300.0,1164.139240506329,200.0,9.8442635935356e-58,0.42506515645990084,medium,True
architect,207,300.0,1972.7101449275362,200.0,4.815050483735556e-21,0.37754986220260056,medium,True
development,2206,300.0,1342.2982774252039,200.0,2.2056660395905798e-214,0.3877150528948845,medium,True
stack,717,300.0,1350.994421199442,200.0,1.846769501672124e-52,0.3293014734582893,small,True
engineer,638,300.0,1707.8401253918496,200.0,3.005410718204337e-62,0.38119392253793527,medium,True
platform,666,300.0,1718.6591591591591,200.0,1.9599660121968216e-48,0.32774325988171205,small,True
setter,303,300.0,1047.3003300330033,200.0,7.226493787830175e-30,0.3765182643972047,medium,True
month,189,300.0,1221.2063492063492,200.0,1.0540845201688888e-21,0.4017289781264697,medium,True
backend,324,275.0,1399.3950617283951,175.0,1.4665504604043676e-24,0.32812587135345117,small,True
appointment,429,250.0,1009.934731934732,150.0,1.6793490055138027e-38,0.36190440459235074,medium,True
agencies,513,250.0,349.7719298245614,150.0,1.7925385429678809e-50,0.3812210460732821,medium,True
chat,287,250.0,749.9895470383275,150.0,9.156862772888061e-19,0.3014037603756228,small,True
ios,681,250.0,1321.9618208516888,150.0,2.5893699604784423e-47,0.3202200581793666,small,True
back,170,250.0,772.3235294117648,150.0,5.825699953862059e-09,0.2576157312906129,small,True
software,638,250.0,1118.8385579937303,150.0,5.531182786729855e-37,0.29087191413457747,small,True
photographer,283,250.0,655.9752650176679,150.0,3.799364700891928e-28,0.3774879855479789,medium,True
sales,1386,250.0,1518.0151515151515,150.0,1.5885757287196286e-107,0.34339026588344046,medium,True
recruitment,177,225.0,2210.0282485875705,125.0,0.0006527536021082292,0.14782972773554137,negligible,True
community,154,200.0,628.538961038961,100.0,1.2839542668226016e-06,0.22511104673619164,small,True
corporate,206,200.0,712.4660194174758,100.0,2.0973302103598876e-10,0.25546878664227757,small,True
commission,164,200.0,1143.719512195122,100.0,7.822513405381501e-07,0.2225440446473308,small,True
tool,278,200.0,644.6726618705036,100.0,2.6274292576232063e-12,0.24222625035314027,small,True
commercial,175,200.0,585.7028571428572,100.0,2.020928994462098e-10,0.27738120764807905,small,True
crm,240,200.0,1021.0833333333334,100.0,5.77303321536065e-14,0.2799034508644076,small,True
booking,242,200.0,1094.4669421487604,100.0,1.391340847274872e-09,0.22470347395036527,small,True
engineering,177,200.0,1073.4011299435028,100.0,1.478708987121409e-06,0.20877980594866097,small,True
opportunity,221,200.0,1070.9773755656108,100.0,1.8839752303090303e-06,0.18499681341067897,small,True
branding,364,200.0,488.9010989010989,100.0,5.5286558968044554e-17,0.253501609123415,small,True
b2b,341,200.0,1344.7888563049853,100.0,1.732442214623735e-11,0.21035197537850658,small,True
chatbot,186,200.0,691.0913978494624,100.0,3.252044798063231e-15,0.3334227114248882,medium,True
commerce,631,200.0,907.931854199683,100.0,2.97265287041293e-20,0.21224560226481537,small,True
service,551,200.0,826.0036297640653,100.0,1.2757479826491175e-16,0.20379135671091397,small,True
agency,786,200.0,856.2519083969465,100.0,5.529288245494133e-44,0.28711056590723416,small,True
monthly,164,200.0,716.2926829268292,100.0,7.227000294467369e-13,0.32324934343017975,small,True
advertising,216,200.0,519.7361111111111,100.0,7.071798324474771e-07,0.19473461543554005,small,True
startup,301,200.0,1337.6578073089702,100.0,2.9225104403762442e-21,0.3149776858468136,small,True
dev,209,200.0,677.0717703349283,100.0,4.4026608835268016e-09,0.23425028672174886,small,True
training,215,200.0,730.2046511627907,100.0,9.272885593259047e-12,0.26831030491615193,small,True
skills,196,200.0,705.5816326530612,100.0,1.0451419140650356e-07,0.21921869584435583,small,True
customer,366,200.0,881.8551912568306,100.0,2.3484374132020576e-11,0.2017244589740741,small,True
extension,186,200.0,351.02150537634407,100.0,3.7766912238220704e-05,0.17434026565953697,small,True
implementation,200,200.0,689.545,100.0,1.4075705100655803e-09,0.24704736694650808,small,True
marketer,183,200.0,743.8196721311475,100.0,2.450245809418133e-08,0.2378649858045785,small,True
general,189,200.0,521.7089947089947,100.0,2.2100348774952006e-07,0.217443767415753,small,True
consultant,317,200.0,1680.3186119873817,100.0,3.7500080740612925e-15,0.25498464153834477,small,True
bot,403,200.0,506.27543424317616,100.0,2.3695257282482064e-16,0.23598902726967053,small,True
outreach,250,200.0,698.02,100.0,6.368525383400268e-09,0.21197239299385218,small,True
lawyer,157,200.0,675.891719745223,100.0,6.561175866600837e-09,0.26713499921053385,small,True
course,318,200.0,1014.3459119496855,100.0,2.0254633337181967e-15,0.2570701911433013,small,True
writers,320,200.0,855.7,100.0,1.1140127988802925e-10,0.20820256543033033,small,True
expertise,240,200.0,469.8333333333333,100.0,7.135164379018483e-06,0.16726172067535838,small,True
build,1730,200.0,843.5196531791908,100.0,2.5833125657097498e-102,0.30020465634247784,small,True
system,539,200.0,1040.2133580705008,100.0,7.474669331172459e-28,0.2723446098794473,small,True
remote,289,200.0,1473.3079584775087,100.0,2.634641800580517e-08,0.18894880342210363,small,True
legal,248,200.0,511.39112903225805,100.0,5.179307074417731e-08,0.19956537237912775,small,True
agent,257,200.0,828.0778210116731,100.0,4.023146011022552e-09,0.21182582615153556,small,True
join,224,200.0,836.8705357142857,100.0,5.708768987635451e-06,0.17494213074826503,small,True
industry,201,200.0,608.6318407960199,100.0,5.9636546599580664e-05,0.1633867280187633,small,True
services,418,200.0,894.2894736842105,100.0,3.251378686092499e-14,0.2143877254369171,small,True
calling,174,200.0,629.3333333333334,100.0,5.9253887529752847e-05,0.17564988223319955,small,True
after,226,200.0,388.01769911504425,100.0,0.0008441509203069253,0.1281394132727367,negligible,True
manager,1529,200.0,1125.7822105951602,100.0,8.020830262033986e-73,0.26808311382657557,small,True
cold,386,200.0,815.240932642487,100.0,1.1970108828695967e-12,0.20888804099024427,small,True
tax,366,199.5,410.72677595628414,99.50000000000001,1.912081589211718e-12,0.21253789809771662,small,True
management,764,190.0,753.7931937172775,89.99999999999999,5.254908116772054e-15,0.16371622525025198,small,True
motion,286,175.0,535.9580419580419,75.0,7.749955715597707e-08,0.18340623141600787,small,True
non,216,175.0,514.7685185185185,75.0,9.75884626450095e-10,0.2400447025891832,small,True
ecommerce,463,160.0,811.194384449244,60.00000000000001,1.424660117379132e-10,0.17220581074663865,small,True
technical,372,155.0,591.8225806451613,55.00000000000001,1.3608835982133174e-07,0.1578143317774654,small,True
responsive,381,150.0,471.8530183727034,50.0,6.369428530835722e-05,0.11831629458536752,negligible,True
skilled,212,150.0,985.7735849056604,50.0,2.8890531053498525e-05,0.16575032279622204,small,True
assistant,1280,150.0,654.125,50.0,9.368528002674158e-12,0.11051075257331755,negligible,True
identity,246,150.0,414.4593495934959,50.0,1.223649651429576e-07,0.19466487576693914,small,True
per,347,150.0,828.4610951008646,50.0,2.671842130066374e-05,0.1302251138915287,negligible,True
marketing,2244,150.0,817.9117647058823,50.0,4.980433517859845e-52,0.18673727979108046,small,True
dynamic,187,150.0,463.2566844919786,50.0,0.00035655459995759465,0.1506493949401193,small,True
performance,173,150.0,803.3526011560693,50.0,0.0003898045105423781,0.15558842224589986,small,True
builder,327,150.0,645.9877675840978,50.0,4.883449448156085e-08,0.17419535752697923,small,True
support,454,150.0,669.5704845814978,50.0,1.3066792749486367e-09,0.1644969769897422,small,True
game,822,150.0,767.0608272506083,50.0,6.501991471020049e-21,0.18939057334676246,small,True
client,258,150.0,792.0503875968992,50.0,0.0006061806123902842,0.12321614969946793,negligible,True
functionality,200,150.0,470.115,50.0,2.7445066811473084e-05,0.17111596317157285,small,True
event,313,150.0,598.8690095846646,50.0,2.7764544205941275e-08,0.18128304628070047,small,True
ads,1533,150.0,552.9739073711677,50.0,6.6198837099456785e-25,0.15288634756296737,small,True
experience,807,150.0,682.1685254027261,50.0,5.21918090607978e-12,0.140568890707236,negligible,True
campaign,457,150.0,584.4660831509847,50.0,1.0945153615109764e-05,0.11885252570338989,negligible,True
finance,210,150.0,790.0,50.0,4.0486235432819595e-06,0.18353326625193978,small,True
meta,246,150.0,633.3780487804878,50.0,6.25954767375483e-05,0.14730071210914542,negligible,True
projects,237,150.0,862.0168776371308,50.0,3.241573395386014e-07,0.19152878938359708,small,True
webflow,448,150.0,430.2388392857143,50.0,6.02705561902605e-15,0.21299708903375225,small,True
apple,162,150.0,668.9567901234568,50.0,0.0020572484816117976,0.1396953689634417,negligible,True
analyst,284,150.0,632.9894366197183,50.0,5.176279284685469e-05,0.13864875538742227,negligible,True
devops,175,150.0,1826.2285714285715,50.0,9.028404395316727e-06,0.19361747747225677,small,True
contract,271,150.0,762.3247232472324,50.0,8.188958173741991e-07,0.17289865159432782,small,True
educational,175,150.0,841.3714285714286,50.0,0.000511071470996208,0.15155771406495755,small,True
interior,324,150.0,407.10185185185185,50.0,1.5625686310423302e-06,0.15406888391369145,small,True
trading,255,150.0,713.1764705882352,50.0,1.9292263845047807e-10,0.23013392937565924,small,True
like,236,150.0,900.9152542372881,50.0,0.0007541215877416829,0.12657372056434157,negligible,True
production,297,150.0,608.2760942760942,50.0,2.8869126461162796e-06,0.15673283123622572,small,True
pitch,257,150.0,353.2256809338521,50.0,3.5757489887623546e-05,0.14881963139522125,negligible,True
other,172,150.0,1256.6627906976744,50.0,2.495144878487166e-06,0.207143576782012,small,True
migration,202,150.0,491.2029702970297,50.0,1.5807993867574184e-06,0.19491524775055558,small,True
property,154,150.0,901.0844155844156,50.0,0.00020369784209232935,0.1726788777378785,small,True
fitness,217,150.0,472.2857142857143,50.0,0.06010951671600673,0.07364958907733876,negligible,False
digital,858,150.0,833.497668997669,50.0,9.500662720776715e-15,0.15307875252739445,small,True
brand,1264,150.0,510.07990506329116,50.0,1.4066408191775095e-27,0.17753983166907994,small,True
application,1136,150.0,836.2086267605633,50.0,6.684814408465987e-31,0.198790948564056,small,True
web,2561,150.0,735.6958219445529,50.0,1.0499953052225716e-70,0.20530652874482702,small,True
mobile,1367,150.0,1011.2640819312363,50.0,4.890992789133677e-31,0.1818424950397457,small,True
develop,462,150.0,797.4199134199134,50.0,7.708664052571421e-25,0.27667293420263595,small,True
cloud,205,150.0,1098.0390243902439,50.0,1.628299886769106e-07,0.21108681323216416,small,True
telegram,180,150.0,613.75,50.0,0.0013531252939441725,0.13781189432135021,negligible,True
end,422,150.0,679.8815165876778,50.0,1.087952186050997e-11,0.19106678897414064,small,True
tech,318,150.0,773.2861635220125,50.0,7.2621640044206436e-09,0.18729676179688326,small,True
animator,288,150.0,552.7708333333334,50.0,8.144132615149897e-07,0.16776836201441192,small,True
copywriter,387,150.0,577.0232558139535,50.0,2.269105615837986e-10,0.18619471000092136,small,True
deck,368,150.0,382.4266304347826,50.0,5.2471043755924916e-08,0.16385297831641243,small,True
frontend,252,150.0,453.78968253968253,50.0,0.00024260716908845094,0.13343716617350676,negligible,True
accountant,170,150.0,543.8705882352941,50.0,9.087464633442675e-05,0.1731866812034799,small,True
recruiting,248,150.0,470.9193548387097,50.0,0.23913550472020761,-0.0431435673583942,negligible,False
