keyword,n_postings,median_pay,mean_pay,vs_overall_pct,p_value,cliffs_delta,effect,significant_fdr
attorney,186,105.0,97.82795698924731,366.6666666666667,2.3051921887872483e-78,0.7937111480491683,large,True
lawyer,213,90.0,84.22769953051643,300.0,3.515072629343231e-78,0.7409106472658369,large,True
grant,171,57.5,57.02046783625731,155.55555555555554,1.7928497848379707e-52,0.6733085341973268,large,True
cryptocurrency,233,55.0,56.761802575107296,144.44444444444446,1.1694601815383041e-58,0.6111936712656483,large,True
cpa,188,53.75,57.755319148936174,138.88888888888889,5.6288911872075045e-36,0.5275294772809656,large,True
tax,654,50.0,54.506116207951074,122.22222222222223,2.7066332366693627e-97,0.47387809925497604,large,True
consultation,337,49.5,56.69287833827893,120.00000000000001,7.491737904118681e-67,0.543890947914706,large,True
videographer,407,42.5,53.466830466830466,88.88888888888889,3.8793458301591467e-109,0.6361402505400302,large,True
consultant,905,40.0,48.85635359116022,77.77777777777777,8.797223523376832e-123,0.4540615414064897,medium,True
over,292,40.0,38.77054794520548,77.77777777777777,8.860417834226246e-18,0.29043988813399224,small,True
voice,418,40.0,37.421052631578945,77.77777777777777,1.6932654367754835e-25,0.29517962237927553,small,True
pitch,209,40.0,45.94976076555024,77.77777777777777,3.323693075997427e-31,0.4642527670619303,medium,True
resume,187,37.5,43.47860962566845,66.66666666666667,2.0249999176666324e-21,0.4014286834918792,medium,True
nft,252,37.5,42.279761904761905,66.66666666666667,4.7666182194952564e-35,0.4495743913598531,medium,True
consulting,286,37.5,47.05769230769231,66.66666666666667,6.533883843665626e-29,0.3812897194926619,medium,True
run,167,37.5,52.21556886227545,66.66666666666667,1.2585774056994142e-15,0.3574765855020525,medium,True
photographer,338,37.5,49.59319526627219,66.66666666666667,2.4037565027118054e-55,0.49270124899081513,large,True
investment,187,37.5,43.606951871657756,66.66666666666667,3.290853472115327e-14,0.3204395837568066,small,True
blockchain,350,37.5,42.01714285714286,66.66666666666667,1.2910910237624468e-50,0.4623302625556993,medium,True
corporate,192,37.5,50.161458333333336,66.66666666666667,7.806524682536778e-25,0.4289594044979099,medium,True
escritores,184,36.0,31.720108695652176,60.00000000000001,4.979830895507152e-13,0.3076865860093392,small,True
financial,546,35.0,43.38278388278388,55.55555555555556,1.9424964606340593e-37,0.31664139692283744,small,True
trading,199,35.0,39.55778894472362,55.55555555555556,7.381847429068047e-17,0.34153834074335787,medium,True
security,209,35.0,38.717703349282296,55.55555555555556,4.401554257640167e-16,0.32474137089285526,small,True
deck,298,35.0,42.95302013422819,55.55555555555556,1.1287352048330592e-37,0.42949189300673085,medium,True
contract,375,35.0,49.537333333333336,55.55555555555556,3.3281333558040543e-29,0.3349159044140091,medium,True
proposal,151,35.0,43.90066225165563,55.55555555555556,5.399527331159227e-19,0.41844888815494485,medium,True
strategy,371,35.0,45.26145552560647,55.55555555555556,2.208169776759369e-30,0.3438369325357622,medium,True
architect,326,35.0,39.604294478527606,55.55555555555556,1.2114880830205296e-32,0.38089054065579964,medium,True
powerpoint,292,34.0,34.51541095890411,51.11111111111111,3.5164093953674314e-14,0.2562753266301978,small,True
presentation,397,34.0,35.55415617128463,51.11111111111111,2.300053910133328e-23,0.28900857041768946,small,True
web3,213,34.0,37.117370892018776,51.11111111111111,1.253443278674533e-16,0.32765885370553627,small,True
legal,423,33.5,54.835697399527184,48.88888888888889,3.826953681113041e-27,0.3033900236616147,small,True
azure,302,32.5,38.311258278145694,44.44444444444444,1.3538228004605047e-22,0.3252938357111623,small,True
script,498,32.5,33.65562248995984,44.44444444444444,1.0503660674626618e-22,0.25423318633963565,small,True
cloud,311,32.5,35.62218649517685,44.44444444444444,3.296815896838955e-19,0.29359313893219774,small,True
you,327,32.5,66.13761467889908,44.44444444444444,1.5583195494282112e-16,0.2637768770128699,small,True
salesforce,281,32.5,37.286476868327405,44.44444444444444,1.3874104340360047e-21,0.3289786700190369,small,True
aws,464,32.5,36.307112068965516,44.44444444444444,1.5752443621412115e-25,0.28041285534534,small,True
devops,303,32.5,36.417491749174914,44.44444444444444,1.8317083324672753e-23,0.33141219296375657,medium,True
review,486,32.5,43.68930041152263,44.44444444444444,1.2479379536749983e-26,0.2802670163477361,small,True
analytics,411,32.5,37.40389294403893,44.44444444444444,4.091435094759084e-27,0.3075930716628681,small,True
microsoft,409,32.5,40.61002444987775,44.44444444444444,4.10158515132722e-31,0.3316803821585612,medium,True
server,334,32.5,37.76047904191617,44.44444444444444,1.0288944485057779e-19,0.28736976607037557,small,True
automate,150,32.5,34.17666666666667,44.44444444444444,3.343084683923175e-07,0.2406228027103996,small,True
configuration,159,32.5,38.710691823899374,44.44444444444444,3.2745102772721686e-14,0.3474927132678214,medium,True
network,232,32.5,36.45043103448276,44.44444444444444,3.8979296540440786e-10,0.2373705960836463,small,True
senior,952,30.5,36.15598739495798,35.555555555555564,1.7386244442087933e-52,0.2864975939363408,small,True
engineer,1529,30.5,36.74329627207325,35.555555555555564,9.242069619136374e-76,0.2738950587693778,small,True
audit,206,30.0,37.70873786407767,33.33333333333333,2.2473759939140574e-10,0.25530819394138615,small,True
strategist,351,30.0,36.73504273504273,33.33333333333333,7.794351446679418e-10,0.18973169568238024,small,True
machine,211,30.0,39.59241706161137,33.33333333333333,2.8710142683267935e-16,0.32525599301845687,small,True
copywriter,621,30.0,34.524959742351044,33.33333333333333,9.93556497870438e-20,0.21113649907500087,small,True
hubspot,407,30.0,35.394348894348894,33.33333333333333,7.283005201503686e-23,0.28214624921670994,small,True
tracking,290,30.0,35.508620689655174,33.33333333333333,8.656456704643585e-14,0.2531574537434669,small,True
bot,256,30.0,32.685546875,33.33333333333333,3.057466604566209e-10,0.22736179956896563,small,True
power,381,30.0,32.1745406824147,33.33333333333333,1.1438463220577255e-10,0.19095044785196236,small,True
crypto,411,30.0,37.92457420924574,33.33333333333333,5.6554657491896834e-11,0.1868981475452327,small,True
modeling,152,30.0,38.76973684210526,33.33333333333333,2.7561412052870225e-08,0.2602684223952212,small,True
