post_date,category,n,total,share,day_idx
2024-02-13,Admin & Customer Support,187,5062,0.03694192018964836,0
2024-02-13,Audio & Music,40,5062,0.007902015013828527,0
2024-02-13,Business & Consulting,75,5062,0.014816278150928487,0
2024-02-13,Data Science & Analytics,275,5062,0.054326353220071115,0
2024-02-13,Design & Creative,660,5062,0.13038324772817067,0
2024-02-13,Digital Marketing,521,5062,0.10292374555511656,0
2024-02-13,E-commerce,258,5062,0.050967996839193994,0
2024-02-13,Engineering & Manufacturing,18,5062,0.0035559067562228367,0
2024-02-13,Finance & Accounting,98,5062,0.01935993678387989,0
2024-02-13,Game Development,21,5062,0.004148557882259977,0
2024-02-13,HR & Recruitment,38,5062,0.0075069142631371,0
2024-02-13,Legal,47,5062,0.009284867641248518,0
2024-02-13,Mobile Development,185,5062,0.036546819438956935,0
2024-02-13,Other / Uncategorised,447,5062,0.08830501777953378,0
2024-02-13,Project Management,40,5062,0.007902015013828527,0
2024-02-13,Real Estate,24,5062,0.004741209008297116,0
2024-02-13,Research & Survey,80,5062,0.015804030027657054,0
2024-02-13,Sales & Business Development,238,5062,0.047016989332279734,0
2024-02-13,Software & IT,381,5062,0.0752666930067167,0
2024-02-13,Video & Animation,403,5062,0.07961280126432241,0
2024-02-13,Web Development,636,5062,0.12564203871987356,0
2024-02-13,Writing & Translation,390,5062,0.07704464638482814,0
2024-02-14,Admin & Customer Support,221,5966,0.037043245055313444,1
2024-02-14,Audio & Music,58,5966,0.009721756620851492,1
2024-02-14,Business & Consulting,85,5966,0.014247401944351324,1
2024-02-14,Data Science & Analytics,324,5966,0.05430774388199799,1
2024-02-14,Design & Creative,761,5966,0.12755615152531008,1
2024-02-14,Digital Marketing,588,5966,0.09855849815621857,1
2024-02-14,E-commerce,301,5966,0.05045256453234998,1
2024-02-14,Engineering & Manufacturing,21,5966,0.003519946362722092,1
2024-02-14,Finance & Accounting,130,5966,0.02179014415018438,1
2024-02-14,Game Development,39,5966,0.006537043245055313,1
2024-02-14,HR & Recruitment,30,5966,0.005028494803888703,1
2024-02-14,Legal,43,5966,0.007207509218907141,1
2024-02-14,Mobile Development,304,5966,0.050955414012738856,1
2024-02-14,Other / Uncategorised,603,5966,0.10107274555816292,1
2024-02-14,Project Management,45,5966,0.007542742205833054,1
2024-02-14,Real Estate,29,5966,0.004860878310425746,1
2024-02-14,Research & Survey,76,5966,0.012738853503184714,1
2024-02-14,Sales & Business Development,271,5966,0.04542406972846128,1
2024-02-14,Software & IT,369,5966,0.061850486087831044,1
2024-02-14,Video & Animation,425,5966,0.07123700972175662,1
2024-02-14,Web Development,758,5966,0.1270533020449212,1
2024-02-14,Writing & Translation,485,5966,0.08129399932953403,1
2024-02-16,Admin & Customer Support,224,6623,0.03382153102823494,3
2024-02-16,Audio & Music,66,6623,0.009965272535104937,3
2024-02-16,Business & Consulting,72,6623,0.010871206401932659,3
2024-02-16,Data Science & Analytics,388,6623,0.05858372338819266,3
2024-02-16,Design & Creative,854,6623,0.1289445870451457,3
2024-02-16,Digital Marketing,672,6623,0.10146459308470482,3
2024-02-16,E-commerce,328,6623,0.049524384719915444,3
2024-02-16,Engineering & Manufacturing,33,6623,0.004982636267552468,3
2024-02-16,Finance & Accounting,150,6623,0.02264834667069304,3
2024-02-16,Game Development,37,6623,0.00558659217877095,3
2024-02-16,HR & Recruitment,54,6623,0.008153404801449495,3
2024-02-16,Legal,49,6623,0.007398459912426393,3
2024-02-16,Mobile Development,262,6623,0.03955911218481051,3
2024-02-16,Other / Uncategorised,646,6623,0.09753887966178469,3
2024-02-16,Project Management,55,6623,0.008304393779254115,3
2024-02-16,Real Estate,38,6623,0.00573758115657557,3
2024-02-16,Research & Survey,91,6623,0.013739996980220444,3
2024-02-16,Sales & Business Development,281,6623,0.042427902763098296,3
2024-02-16,Software & IT,445,6623,0.06719009512305602,3
2024-02-16,Video & Animation,510,6623,0.07700437868035634,3
2024-02-16,Web Development,826,6623,0.12471689566661634,3
2024-02-16,Writing & Translation,542,6623,0.08183602597010418,3
2024-02-17,Admin & Customer Support,198,4717,0.04197583209667161,4
2024-02-17,Audio & Music,43,4717,0.009115963536145855,4
2024-02-17,Business & Consulting,51,4717,0.010811956752172992,4
2024-02-17,Data Science & Analytics,268,4717,0.056815772736909055,4
2024-02-17,Design & Creative,604,4717,0.12804748781004877,4
2024-02-17,Digital Marketing,464,4717,0.09836760652957388,4
2024-02-17,E-commerce,251,4717,0.05321178715285139,4
2024-02-17,Engineering & Manufacturing,15,4717,0.0031799872800508796,4
2024-02-17,Finance & Accounting,94,4717,0.019927920288318846,4
2024-02-17,Game Development,28,4717,0.005935976256094976,4
2024-02-17,HR & Recruitment,18,4717,0.0038159847360610556,4
2024-02-17,Legal,25,4717,0.0052999788000848,4
2024-02-17,Mobile Development,187,4717,0.0396438414246343,4
2024-02-17,Other / Uncategorised,462,4717,0.0979436082255671,4
2024-02-17,Project Management,29,4717,0.006147975408098368,4
2024-02-17,Real Estate,24,4717,0.005087979648081407,4
2024-02-17,Research & Survey,57,4717,0.012083951664193343,4
2024-02-17,Sales & Business Development,193,4717,0.04091583633665465,4
2024-02-17,Software & IT,322,4717,0.06826372694509222,4
2024-02-17,Video & Animation,352,4717,0.07462370150519398,4
2024-02-17,Web Development,560,4717,0.11871952512189951,4
2024-02-17,Writing & Translation,472,4717,0.10006359974560101,4
2024-02-18,Admin & Customer Support,185,4157,0.044503247534279526,5
2024-02-18,Audio & Music,57,4157,0.013711811402453693,5
2024-02-18,Business & Consulting,46,4157,0.01106567235987491,5
2024-02-18,Data Science & Analytics,218,4157,0.05244166466201588,5
2024-02-18,Design & Creative,512,4157,0.12316574452730335,5
2024-02-18,Digital Marketing,397,4157,0.09550156362761607,5
2024-02-18,E-commerce,232,4157,0.055809477988934326,5
2024-02-18,Engineering & Manufacturing,19,4157,0.004570603800817898,5
2024-02-18,Finance & Accounting,72,4157,0.01732018282415203,5
2024-02-18,Game Development,21,4157,0.005051719990377676,5
2024-02-18,HR & Recruitment,24,4157,0.005773394274717345,5
2024-02-18,Legal,27,4157,0.006495068559057012,5
2024-02-18,Mobile Development,185,4157,0.044503247534279526,5
2024-02-18,Other / Uncategorised,421,4157,0.10127495790233342,5
2024-02-18,Project Management,34,4157,0.008178975222516238,5
2024-02-18,Real Estate,23,4157,0.005532836179937455,5
2024-02-18,Research & Survey,46,4157,0.01106567235987491,5
2024-02-18,Sales & Business Development,163,4157,0.03921096944912196,5
2024-02-18,Software & IT,272,4157,0.0654318017801299,5
2024-02-18,Video & Animation,308,4157,0.07409189319220592,5
2024-02-18,Web Development,473,4157,0.11378397883088766,5
2024-02-18,Writing & Translation,422,4157,0.10151551599711331,5
2024-02-19,Admin & Customer Support,264,6863,0.038467142648987325,6
2024-02-19,Audio & Music,72,6863,0.01049103890426927,6
2024-02-19,Business & Consulting,90,6863,0.013113798630336588,6
2024-02-19,Data Science & Analytics,334,6863,0.04866676380591578,6
2024-02-19,Design & Creative,871,6863,0.1269124289669241,6
2024-02-19,Digital Marketing,638,6863,0.09296226140171937,6
2024-02-19,E-commerce,344,6863,0.05012385254261985,6
2024-02-19,Engineering & Manufacturing,26,6863,0.0037884307154305696,6
2024-02-19,Finance & Accounting,147,6863,0.02141920442954976,6
2024-02-19,Game Development,39,6863,0.005682646073145854,6
2024-02-19,HR & Recruitment,49,6863,0.00713973480984992,6
2024-02-19,Legal,63,6863,0.009179659041235612,6
2024-02-19,Mobile Development,267,6863,0.03890426926999854,6
2024-02-19,Other / Uncategorised,650,6863,0.09471076788576424,6
2024-02-19,Project Management,58,6863,0.008451114672883578,6
2024-02-19,Real Estate,39,6863,0.005682646073145854,6
