category,recent_per_day,prior_per_day,momentum_pct
Web Development,769.5714285714286,762.65625,0.9067228612403833
Design & Creative,768.0,785.40625,-2.2162097640552214
Other / Uncategorised,618.8571428571429,606.65625,2.0111707177075777
Digital Marketing,618.1428571428571,618.6875,-0.08803198014230018
Video & Animation,465.14285714285717,472.15625,-1.4853965942720926
Writing & Translation,430.85714285714283,520.59375,-17.237357755996328
Software & IT,420.14285714285717,417.90625,0.5351935135828212
Data Science & Analytics,339.85714285714283,337.375,0.7357222251627604
E-commerce,321.42857142857144,316.21875,1.6475371648807746
Sales & Business Development,279.0,265.4375,5.109489051094895
Mobile Development,264.2857142857143,267.59375,-1.2362156120184875
Admin & Customer Support,205.85714285714286,228.875,-10.056955605835993
Finance & Accounting,132.14285714285714,135.34375,-2.3650097305142337
Research & Survey,82.57142857142857,83.34375,-0.9266698805506457
Business & Consulting,72.0,74.25,-3.0303030303030276
Project Management,54.285714285714285,54.34375,-0.10679372381500185
Audio & Music,51.142857142857146,54.875,-6.801171493654401
Legal,49.0,47.5,3.157894736842115
HR & Recruitment,39.714285714285715,41.03125,-3.2096616255032018
Game Development,38.285714285714285,33.4375,14.499332443257673
Real Estate,37.857142857142854,34.8125,8.74583226468324
Engineering & Manufacturing,25.714285714285715,27.78125,-7.4401414108950625
