post_date,postings,dow,is_weekend,day_idx
2024-02-13,5062,1,False,0
2024-02-14,5966,2,False,1
2024-02-16,6623,4,False,3
2024-02-17,4717,5,True,4
2024-02-18,4157,6,True,5
2024-02-19,6863,0,False,6
2024-02-20,7115,1,False,7
2024-02-21,7534,2,False,8
2024-02-22,7278,3,False,9
2024-02-23,7120,4,False,10
2024-02-24,4973,5,True,11
2024-02-25,4660,6,True,12
2024-02-26,6801,0,False,13
2024-02-27,7046,1,False,14
2024-02-28,7039,2,False,15
2024-02-29,6945,3,False,16
2024-03-01,6525,4,False,17
2024-03-02,4795,5,True,18
2024-03-03,4493,6,True,19
2024-03-04,6866,0,False,20
2024-03-05,7005,1,False,21
2024-03-06,7027,2,False,22
2024-03-07,7046,3,False,23
2024-03-08,6449,4,False,24
2024-03-09,4808,5,True,25
2024-03-10,4518,6,True,26
2024-03-11,6826,0,False,27
2024-03-12,7060,1,False,28
2024-03-13,6918,2,False,29
2024-03-14,6792,3,False,30
2024-03-15,6329,4,False,31
2024-03-16,4605,5,True,32
2024-03-17,4478,6,True,33
2024-03-18,6811,0,False,34
2024-03-19,6906,1,False,35
2024-03-20,6839,2,False,36
2024-03-21,6814,3,False,37
2024-03-22,6208,4,False,38
2024-03-23,4531,5,True,39
