country,n_postings,median_rate,mean_rate,p25,p75,std,iqr,vs_global_pct
Vietnam,254,27.5,30.007874015748033,17.5,27.5,19.683010094277172,10.0,22.222222222222232
Kenya,369,26.5,30.857723577235774,17.5,37.5,20.660577384170473,20.0,17.777777777777782
Poland,415,25.0,27.26024096385542,15.0,35.0,18.94620492608523,20.0,11.111111111111116
Saudi Arabia,426,25.0,29.20774647887324,16.5,37.5,22.068442437462046,21.0,11.111111111111116
Denmark,418,25.0,29.471291866028707,15.0,35.0,24.98835006747077,20.0,11.111111111111116
United States,48014,25.0,30.869465155996167,15.0,40.0,25.35588880015774,25.0,11.111111111111116
Ukraine,577,25.0,30.17590987868284,16.5,37.5,20.42467509377587,21.0,11.111111111111116
Turkey,385,25.0,27.235064935064933,15.0,32.5,22.096319488926422,17.5,11.111111111111116
Norway,277,24.5,27.05956678700361,16.5,35.0,16.789863568600737,18.5,8.888888888888879
Austria,291,22.5,25.553264604810998,12.5,35.0,17.274150949605104,22.5,0.0
Brazil,207,22.5,26.615942028985508,15.0,32.5,20.800335764572484,17.5,0.0
Germany,2076,22.5,27.245905587668595,15.0,34.0,19.31523170968428,19.0,0.0
Colombia,248,22.5,28.612903225806452,14.5,35.0,22.503426523583865,20.5,0.0
Belgium,420,22.5,26.06904761904762,15.0,32.75,17.85873348978874,17.75,0.0
Switzerland,841,22.5,25.601070154577883,15.0,32.5,17.552910118134566,17.5,0.0
Thailand,295,22.5,41.50508474576271,13.0,46.25,41.0064596857883,33.25,0.0
United Kingdom,8353,22.5,28.048605291512033,14.0,35.0,22.79588013505208,21.0,0.0
United Arab Emirates,1295,22.5,25.46100386100386,12.5,32.5,20.592982491472974,20.0,0.0
Italy,522,22.5,25.53639846743295,14.0,32.5,17.90992649997183,18.5,0.0
New Zealand,526,22.5,23.799429657794676,12.5,30.0,15.640885971063293,17.5,0.0
Israel,816,22.5,25.70343137254902,12.5,32.75,19.999777004651204,20.25,0.0
Hong Kong,428,22.5,25.697429906542055,11.5,32.5,20.455530517250043,21.0,0.0
South Africa,396,22.5,25.315656565656564,15.0,32.5,19.985630466348827,17.5,0.0
Sweden,491,22.5,26.975560081466394,16.0,32.5,20.44588211227225,16.5,0.0
Romania,257,22.5,25.060311284046694,14.0,30.0,15.72136722434546,16.0,0.0
Indonesia,233,22.5,25.540772532188843,15.0,30.0,17.12440065159898,15.0,0.0
Ireland,509,22.5,25.741650294695482,15.0,32.5,18.284538938685326,17.5,0.0
Portugal,239,21.0,24.5836820083682,12.5,30.25,18.315893630808603,17.75,-6.666666666666665
Canada,5222,21.0,25.461796246648795,12.5,31.0,20.614244235004737,18.5,-6.666666666666665
Malaysia,335,21.0,46.82537313432836,8.75,40.0,58.87795746486633,31.25,-6.666666666666665
Spain,992,20.5,24.672883064516128,14.5,32.5,19.17772580516149,18.0,-8.888888888888891
Estonia,208,20.0,24.064903846153847,12.5,30.125,19.54906793163143,17.625,-11.111111111111116
Mexico,297,20.0,24.656565656565657,13.5,29.0,20.107310901235685,15.5,-11.111111111111116
France,1261,20.0,25.22244250594766,11.5,30.0,22.92276290996038,18.5,-11.111111111111116
Australia,5888,20.0,23.765794836956523,11.5,30.0,17.343556990941615,18.5,-11.111111111111116
Bangladesh,735,20.0,25.228571428571428,14.5,26.0,25.50674698367813,11.5,-11.111111111111116
Egypt,236,20.0,25.56779661016949,13.5,30.0,25.529241911408636,16.5,-11.111111111111116
Netherlands,1614,20.0,22.522614622057002,10.5,28.0,18.789555087555417,17.5,-11.111111111111116
Singapore,857,20.0,24.406067677946325,12.5,30.0,20.00889663246542,17.5,-11.111111111111116
Nigeria,302,20.0,25.311258278145694,14.5,30.0,21.11865243815292,15.5,-11.111111111111116
China,418,19.0,23.904306220095695,11.625,30.0,22.45897791187419,18.375,-15.555555555555555
Pakistan,1441,18.5,23.253990284524637,11.5,26.0,21.711508717790284,14.5,-17.777777777777782
India,4431,18.5,22.31234484315053,11.5,27.5,18.044950862600118,16.0,-17.777777777777782
Japan,262,15.0,19.5381679389313,10.0,24.125,17.540169368004356,14.125,-33.333333333333336
Philippines,1071,11.0,25.535014005602243,6.5,22.5,38.87121603995737,16.0,-51.11111111111111
South Korea,278,10.0,15.388489208633093,10.0,15.0,17.31894928127755,5.0,-55.55555555555556
