category,H1,H2,shift_ppt
Digital Marketing,9.855765308619818,10.209375264897854,0.3536099562780368
Web Development,12.233842940821354,12.542171738577604,0.3083287977562499
Design & Creative,12.543849630439393,12.827837585826904,0.2839879553875111
Sales & Business Development,4.268302631793634,4.420615410697635,0.15231277890400108
E-commerce,5.067793568176997,5.219123505976095,0.15132993779909842
Video & Animation,7.564163226680155,7.707891836907689,0.1437286102275337
Data Science & Analytics,5.4104325409127245,5.546325336950072,0.13589279603734727
Software & IT,6.732040007179102,6.8339408324150215,0.10190082523591926
Project Management,0.8337548336569368,0.9298974315503942,0.09614259789345736
HR & Recruitment,0.6257240287816738,0.6984826650843435,0.07275863630266977
Game Development,0.52456395111684,0.5891328303806053,0.06456887926376531
Real Estate,0.5547488130007017,0.5925235229295583,0.037774709928856676
Business & Consulting,1.1804728417823753,1.2147156056624566,0.034242763880081295
Finance & Accounting,2.174125862715985,2.1963210985843857,0.022195235868400776
Legal,0.7644112320318491,0.7849453250826482,0.020534093050799118
Mobile Development,4.319698477703993,4.338391116385522,0.018692638681529594
Engineering & Manufacturing,0.43727259377702365,0.4518097821480037,0.014537188370980059
Other / Uncategorised,9.884318556347795,9.857590912943968,-0.026727643403827273
Research & Survey,1.381977190034101,1.3147410358565739,-0.06723615417752704
Audio & Music,0.9218619980746954,0.8341103670424683,-0.08775163103222705
Admin & Customer Support,3.877531041459316,3.400864626599983,-0.4766664148593329
Writing & Translation,8.843348724893538,7.489192167500212,-1.3541565573933259
