post_date,postings,pct_hourly,pct_pay_disclosed,median_hourly,median_budget,n_countries,n_categories,days_covered,postings_per_day
2024-02-13,5062,60.37139470564994,83.30699328328723,25.0,100.0,121,22,1,5062.0
2024-02-14,5966,58.5484411666108,83.55682199128395,22.5,100.0,121,22,1,5966.0
2024-02-16,6623,58.94609693492375,83.72338819266194,22.5,90.0,129,22,1,6623.0
2024-02-17,4717,56.70977316090736,84.07886368454525,21.0,100.0,123,22,1,4717.0
2024-02-18,4157,55.83353379841232,85.37406783738273,20.5,80.0,114,22,1,4157.0
2024-02-19,6863,58.341833017630776,85.42911263295935,22.5,100.0,131,22,1,6863.0
2024-02-20,7115,60.295151089248066,84.27266338721012,22.5,100.0,130,22,1,7115.0
2024-02-21,7534,59.23812052030794,84.85532253782851,22.5,100.0,133,22,1,7534.0
2024-02-22,7278,59.85160758450123,85.20197856553999,22.5,100.0,134,22,1,7278.0
2024-02-23,7120,59.18539325842696,85.30898876404494,22.5,100.0,132,22,1,7120.0
2024-02-24,4973,54.816006434747635,85.01910315704806,22.5,100.0,127,22,1,4973.0
2024-02-25,4660,55.944206008583684,84.80686695278969,22.5,85.0,120,22,1,4660.0
2024-02-26,6801,58.65313924422879,84.14938979561829,22.5,100.0,132,22,1,6801.0
2024-02-27,7046,57.83423218847573,84.18961112688051,22.5,100.0,132,22,1,7046.0
2024-02-28,7039,57.63602784486432,84.8700099445944,23.5,100.0,129,22,1,7039.0
2024-02-29,6945,57.42260619150468,84.44924406047517,22.5,100.0,134,22,1,6945.0
2024-03-01,6525,56.65900383141762,84.33716475095785,22.5,100.0,132,22,1,6525.0
2024-03-02,4795,54.80709071949947,83.94160583941606,22.5,80.0,125,22,1,4795.0
2024-03-03,4493,54.48475406187403,84.37569552637436,22.5,80.0,121,22,1,4493.0
2024-03-04,6866,59.08826099621323,83.81881736090882,22.5,100.0,128,22,1,6866.0
2024-03-05,7005,59.40042826552463,83.82583868665239,22.5,100.0,132,22,1,7005.0
2024-03-06,7027,58.061761776006826,84.06147715952753,22.5,100.0,133,22,1,7027.0
2024-03-07,7046,58.43031507238149,83.74964518875959,22.5,100.0,126,22,1,7046.0
2024-03-08,6449,57.977981082338346,84.26112575593116,22.5,100.0,129,22,1,6449.0
2024-03-09,4808,55.13727121464226,85.25374376039933,22.5,90.0,121,22,1,4808.0
2024-03-10,4518,54.49313855688358,83.77600708277998,22.5,90.0,123,22,1,4518.0
2024-03-11,6826,58.145326692059776,84.39789041898624,22.5,100.0,126,22,1,6826.0
2024-03-12,7060,57.492917847025495,84.12181303116148,22.5,100.0,127,22,1,7060.0
2024-03-13,6918,57.921364556230124,84.57646718704828,22.5,100.0,130,22,1,6918.0
2024-03-14,6792,57.31743227326266,83.5394581861013,22.5,100.0,134,22,1,6792.0
2024-03-15,6329,56.39121504187076,83.70990677832201,22.5,85.0,127,22,1,6329.0
2024-03-16,4605,52.529858849077094,85.23344191096635,22.5,75.0,122,22,1,4605.0
2024-03-17,4478,53.50602947744528,85.26127735596248,22.5,75.0,118,22,1,4478.0
2024-03-18,6811,56.58493613272647,84.42225811187785,22.5,100.0,124,22,1,6811.0
2024-03-19,6906,58.73153779322329,83.8401390095569,22.5,100.0,126,22,1,6906.0
2024-03-20,6839,58.8390115513964,82.58517327094604,22.5,100.0,136,22,1,6839.0
2024-03-21,6814,57.60199589081303,83.38714411505723,22.5,100.0,129,22,1,6814.0
2024-03-22,6208,57.50644329896907,83.85953608247422,22.5,100.0,133,22,1,6208.0
2024-03-23,4531,54.11608916354006,84.52880158905319,22.5,75.0,119,22,1,4531.0
